doctors,jianjie,jianjie_url,localtion,localtion_url,tel,url
"科室 62 个, 大夫 1508 人",北京协和医院是集医疗、教学、科研于一...,//info.haodf.com/hospital/DE4rIxMvCogR-EoxrURJ3U3/jieshao.htm,东城区东单帅府园1号(东院);西城区大木...,//map.haodf.com/hospital/DE4rIxMvCogR-EoxrURJ3U3/map.htm,"010-69156114(总机),010-69155564(东院咨询台),010-69158010(西院咨询台),010-69156699(国际部预约电话)",https://www.haodf.com/hospital/DE4rIxMvCogR-EoxrURJ3U3.htm
"科室 16 个, 大夫 300 人",四川大学华西口腔医(学)院始建于1907年...,//info.haodf.com/hospital/DE4roiYGYZwmxnUz-mzZSmmxP/jieshao.htm,四川省成都市人民南路三段14号,//map.haodf.com/hospital/DE4roiYGYZwmxnUz-mzZSmmxP/map.htm,"028-85501437(医疗咨询),028-85553331(值班室)",https://www.haodf.com/hospital/DE4roiYGYZwmxnUz-mzZSmmxP.htm
"科室 71 个, 大夫 1401 人",四川省人民医院坐落在成都青羊宫旁、浣...,//info.haodf.com/hospital/DE4roiYGYZwmGapHKRSoDWRPl/jieshao.htm,总院:四川省成都市一环路西二段32号;草...,//map.haodf.com/hospital/DE4roiYGYZwmGapHKRSoDWRPl/map.htm,"028-87769262(急救中心),028-87393999(总机),028-87393928(患服中心),028-87795180(患服中心),028-84848120(城东病区)",https://www.haodf.com/hospital/DE4roiYGYZwmGapHKRSoDWRPl.htm
"科室 17 个, 大夫 254 人",广州市惠爱医院（广州医科大学附属脑科...,//info.haodf.com/hospital/DE4roiYGYZwXxU3XIhpq-4h0m/jieshao.htm,芳村总院:广州市荔湾区芳村明心路36号;...,//map.haodf.com/hospital/DE4roiYGYZwXxU3XIhpq-4h0m/map.htm,"020-81891425(总院),020-81891425-8136(芳村总院咨询),020-81891425-8137(芳村咨询),020-86601229-8201(江村分院)",https://www.haodf.com/hospital/DE4roiYGYZwXxU3XIhpq-4h0m.htm
"科室 10 个, 大夫 138 人",杭州市第七人民医院医院创建于1954年，...,//info.haodf.com/hospital/DE4rO-XCoLU0xnRCObWl99uMTa/jieshao.htm,杭州市天目山路305号(天目山路本部);杭...,//map.haodf.com/hospital/DE4rO-XCoLU0xnRCObWl99uMTa/map.htm,"0571-85126600(总机),0571-85129501(门诊预约),0571-85029595(24小时心理援助热线)",https://www.haodf.com/hospital/DE4rO-XCoLU0xnRCObWl99uMTa.htm
"科室 24 个, 大夫 289 人",浙江省,//info.haodf.com/hospital/DE4rO-XCoLU0CoElfmw7E-sSlj/jieshao.htm,浙江省杭州市拱墅区半山桥广济路38号,//map.haodf.com/hospital/DE4rO-XCoLU0CoElfmw7E-sSlj/map.htm,"0571-88122222(总机),0571-88122233(门诊咨询)",https://www.haodf.com/hospital/DE4rO-XCoLU0CoElfmw7E-sSlj.htm
"科室 38 个, 大夫 265 人",浙江省中西医结合医院，又名杭州市红十...,//info.haodf.com/hospital/DE4roiYGYZwEHb86yaYLonaQx/jieshao.htm,杭州市环城东路208号,//map.haodf.com/hospital/DE4roiYGYZwEHb86yaYLonaQx/map.htm,0571-56109999(总机),https://www.haodf.com/hospital/DE4roiYGYZwEHb86yaYLonaQx.htm
"科室 58 个, 大夫 591 人",宁波市第一医院创建于1913年，为浙江省...,//info.haodf.com/hospital/DE4rO-XCoLU0xONQ4wkiNDMHtx/jieshao.htm,总院:浙江省宁波市柳汀街59号;海曙分院...,//map.haodf.com/hospital/DE4rO-XCoLU0xONQ4wkiNDMHtx/map.htm,"0574-87085588(总机),0574-87085113(门诊办)",https://www.haodf.com/hospital/DE4rO-XCoLU0xONQ4wkiNDMHtx.htm
"科室 50 个, 大夫 854 人",杭州市第一人民医院：创建于1923年5月2...,//info.haodf.com/hospital/DE4roiYGYZwEH2d9CWC6I0WTb/jieshao.htm,杭州市浣纱路261号,//map.haodf.com/hospital/DE4roiYGYZwEH2d9CWC6I0WTb/map.htm,0571-56005600(总机),https://www.haodf.com/hospital/DE4roiYGYZwEH2d9CWC6I0WTb.htm
"科室 41 个, 大夫 329 人",宁波市医疗中心李惠利医院是由香港著名...,//info.haodf.com/hospital/DE4rO-XCoLU0CoYk8JOrYZEIRi/jieshao.htm,浙江省宁波市江东区兴宁路57号,//map.haodf.com/hospital/DE4rO-XCoLU0CoYk8JOrYZEIRi/map.htm,"0574-87018701(总机),0574-55835583(东部总机)",https://www.haodf.com/hospital/DE4rO-XCoLU0CoYk8JOrYZEIRi.htm
