,金额,商品,支付时间,地点,大类,二级类
17,4.5,68g好丽友巧克力派2枚,2017/5/16 19:08,A,非饮料,饼干糕点
35,4.5,68g好丽友巧克力派2枚,2017/6/21 13:38,A,非饮料,饼干糕点
44,4.5,68g好丽友巧克力派2枚,2017/6/21 22:24,A,非饮料,饼干糕点
51,4.5,68g好丽友巧克力派2枚,2017/6/29 22:11,A,非饮料,饼干糕点
55,4.5,68g好丽友巧克力派2枚,2017/7/24 11:51,A,非饮料,饼干糕点
56,4.5,68g好丽友巧克力派2枚,2017/7/25 20:36,A,非饮料,饼干糕点
66,4.5,68g好丽友巧克力派2枚,2017/9/2 12:24,A,非饮料,饼干糕点
70,4.5,68g好丽友巧克力派2枚,2017/9/8 20:57,A,非饮料,饼干糕点
72,4.5,68g好丽友巧克力派2枚,2017/9/9 17:18,A,非饮料,饼干糕点
78,4.5,68g好丽友巧克力派2枚,2017/9/16 10:01,A,非饮料,饼干糕点
83,4.5,68g好丽友巧克力派2枚,2017/10/2 15:38,A,非饮料,饼干糕点
93,4.5,68g好丽友巧克力派2枚,2017/10/18 08:28,A,非饮料,饼干糕点
96,4.5,68g好丽友巧克力派2枚,2017/10/20 14:15,A,非饮料,饼干糕点
97,4.5,68g好丽友巧克力派2枚,2017/10/21 20:46,A,非饮料,饼干糕点
102,4.5,68g好丽友巧克力派2枚,2017/10/27 12:39,A,非饮料,饼干糕点
107,4.5,68g好丽友巧克力派2枚,2017/10/29 15:34,A,非饮料,饼干糕点
108,4.5,68g好丽友巧克力派2枚,2017/10/30 17:34,A,非饮料,饼干糕点
110,4.5,68g好丽友巧克力派2枚,2017/11/5 12:16,A,非饮料,饼干糕点
114,4.5,68g好丽友巧克力派2枚,2017/11/6 17:39,A,非饮料,饼干糕点
115,4.5,68g好丽友巧克力派2枚,2017/11/7 09:59,A,非饮料,饼干糕点
118,4.5,68g好丽友巧克力派2枚,2017/11/11 16:25,A,非饮料,饼干糕点
126,4.5,68g好丽友巧克力派2枚,2017/11/20 16:43,A,非饮料,饼干糕点
133,4.5,68g好丽友巧克力派2枚,2017/12/11 15:04,A,非饮料,饼干糕点
141,3.0,40g双汇玉米热狗肠,2017/1/1 01:33,A,非饮料,肉干/豆制品/蛋
146,1.5,40g双汇玉米热狗肠,2017/1/9 15:38,A,非饮料,肉干/豆制品/蛋
147,1.5,40g双汇玉米热狗肠,2017/1/9 16:22,A,非饮料,肉干/豆制品/蛋
148,3.0,40g双汇玉米热狗肠,2017/1/9 17:36,A,非饮料,肉干/豆制品/蛋
149,1.5,40g双汇玉米热狗肠,2017/1/9 17:55,A,非饮料,肉干/豆制品/蛋
151,3.0,40g双汇玉米热狗肠,2017/1/9 19:04,A,非饮料,肉干/豆制品/蛋
153,4.5,40g双汇玉米热狗肠,2017/1/10 02:30,A,非饮料,肉干/豆制品/蛋
154,1.5,40g双汇玉米热狗肠,2017/1/10 04:32,A,非饮料,肉干/豆制品/蛋
158,1.5,40g双汇玉米热狗肠,2017/1/10 18:49,A,非饮料,肉干/豆制品/蛋
162,1.5,40g双汇玉米热狗肠,2017/1/27 01:31,A,非饮料,肉干/豆制品/蛋
163,3.0,40g双汇玉米热狗肠,2017/1/29 11:13,A,非饮料,肉干/豆制品/蛋
166,3.0,40g双汇玉米热狗肠,2017/1/30 00:06,A,非饮料,肉干/豆制品/蛋
173,3.0,40g双汇玉米热狗肠,2017/3/29 12:02,A,非饮料,肉干/豆制品/蛋
175,1.5,40g双汇玉米热狗肠,2017/3/30 21:08,A,非饮料,肉干/豆制品/蛋
176,1.5,40g双汇玉米热狗肠,2017/3/30 21:12,A,非饮料,肉干/豆制品/蛋
181,4.5,40g双汇玉米热狗肠,2017/3/31 23:45,A,非饮料,肉干/豆制品/蛋
182,1.5,40g双汇玉米热狗肠,2017/4/1 12:35,A,非饮料,肉干/豆制品/蛋
188,1.5,40g双汇玉米热狗肠,2017/4/4 21:06,A,非饮料,肉干/豆制品/蛋
201,1.5,40g双汇玉米热狗肠,2017/4/17 07:59,A,非饮料,肉干/豆制品/蛋
211,1.5,40g双汇玉米热狗肠,2017/4/19 18:05,A,非饮料,肉干/豆制品/蛋
214,1.5,40g双汇玉米热狗肠,2017/4/21 18:01,A,非饮料,肉干/豆制品/蛋
215,1.5,40g双汇玉米热狗肠,2017/4/22 11:24,A,非饮料,肉干/豆制品/蛋
