,金额,商品,支付时间,地点,大类,二级类
9,4.5,68g好丽友巧克力派2枚,2017/4/20 23:11,B,非饮料,饼干糕点
18,4.5,68g好丽友巧克力派2枚,2017/5/20 11:57,B,非饮料,饼干糕点
20,4.5,68g好丽友巧克力派2枚,2017/5/23 21:39,B,非饮料,饼干糕点
22,4.5,68g好丽友巧克力派2枚,2017/5/28 17:34,B,非饮料,饼干糕点
23,4.5,68g好丽友巧克力派2枚,2017/5/28 19:52,B,非饮料,饼干糕点
25,4.5,68g好丽友巧克力派2枚,2017/6/1 04:21,B,非饮料,饼干糕点
30,4.5,68g好丽友巧克力派2枚,2017/6/5 12:14,B,非饮料,饼干糕点
31,4.5,68g好丽友巧克力派2枚,2017/6/8 09:03,B,非饮料,饼干糕点
48,4.5,68g好丽友巧克力派2枚,2017/6/25 17:10,B,非饮料,饼干糕点
53,4.5,68g好丽友巧克力派2枚,2017/7/2 12:24,B,非饮料,饼干糕点
54,4.5,68g好丽友巧克力派2枚,2017/7/5 19:59,B,非饮料,饼干糕点
58,4.5,68g好丽友巧克力派2枚,2017/8/7 16:31,B,非饮料,饼干糕点
61,4.5,68g好丽友巧克力派2枚,2017/8/13 17:23,B,非饮料,饼干糕点
71,4.5,68g好丽友巧克力派2枚,2017/9/9 15:28,B,非饮料,饼干糕点
74,4.5,68g好丽友巧克力派2枚,2017/9/11 08:21,B,非饮料,饼干糕点
75,4.5,68g好丽友巧克力派2枚,2017/9/11 21:54,B,非饮料,饼干糕点
82,4.5,68g好丽友巧克力派2枚,2017/10/1 07:56,B,非饮料,饼干糕点
86,4.5,68g好丽友巧克力派2枚,2017/10/13 12:37,B,非饮料,饼干糕点
90,4.5,68g好丽友巧克力派2枚,2017/10/16 01:58,B,非饮料,饼干糕点
91,4.5,68g好丽友巧克力派2枚,2017/10/17 07:48,B,非饮料,饼干糕点
92,4.5,68g好丽友巧克力派2枚,2017/10/17 15:47,B,非饮料,饼干糕点
94,4.5,68g好丽友巧克力派2枚,2017/10/20 08:01,B,非饮料,饼干糕点
95,4.5,68g好丽友巧克力派2枚,2017/10/20 13:12,B,非饮料,饼干糕点
98,4.5,68g好丽友巧克力派2枚,2017/10/21 20:58,B,非饮料,饼干糕点
99,4.5,68g好丽友巧克力派2枚,2017/10/25 20:35,B,非饮料,饼干糕点
