,金额,商品,支付时间,地点,大类,二级类
10,4.5,68g好丽友巧克力派2枚,2017/4/30 23:21,C,非饮料,饼干糕点
12,4.5,68g好丽友巧克力派2枚,2017/5/2 18:17,C,非饮料,饼干糕点
15,4.5,68g好丽友巧克力派2枚,2017/5/11 12:50,C,非饮料,饼干糕点
21,4.5,68g好丽友巧克力派2枚,2017/5/24 19:27,C,非饮料,饼干糕点
24,4.5,68g好丽友巧克力派2枚,2017/5/29 23:17,C,非饮料,饼干糕点
27,4.5,68g好丽友巧克力派2枚,2017/6/2 23:43,C,非饮料,饼干糕点
34,4.5,68g好丽友巧克力派2枚,2017/6/20 14:51,C,非饮料,饼干糕点
50,4.5,68g好丽友巧克力派2枚,2017/6/28 15:15,C,非饮料,饼干糕点
52,4.5,68g好丽友巧克力派2枚,2017/6/30 14:24,C,非饮料,饼干糕点
59,4.5,68g好丽友巧克力派2枚,2017/8/7 20:26,C,非饮料,饼干糕点
60,4.5,68g好丽友巧克力派2枚,2017/8/8 17:35,C,非饮料,饼干糕点
69,4.5,68g好丽友巧克力派2枚,2017/9/7 16:49,C,非饮料,饼干糕点
79,4.5,68g好丽友巧克力派2枚,2017/9/20 08:55,C,非饮料,饼干糕点
85,4.5,68g好丽友巧克力派2枚,2017/10/7 13:14,C,非饮料,饼干糕点
109,4.5,68g好丽友巧克力派2枚,2017/11/4 09:01,C,非饮料,饼干糕点
113,4.5,68g好丽友巧克力派2枚,2017/11/6 13:16,C,非饮料,饼干糕点
119,4.5,68g好丽友巧克力派2枚,2017/11/11 17:03,C,非饮料,饼干糕点
121,4.5,68g好丽友巧克力派2枚,2017/11/13 12:44,C,非饮料,饼干糕点
127,4.5,68g好丽友巧克力派2枚,2017/12/1 17:40,C,非饮料,饼干糕点
128,4.5,68g好丽友巧克力派2枚,2017/12/1 17:57,C,非饮料,饼干糕点
129,4.5,68g好丽友巧克力派2枚,2017/12/1 21:06,C,非饮料,饼干糕点
132,4.5,68g好丽友巧克力派2枚,2017/12/10 16:29,C,非饮料,饼干糕点
142,3.0,40g双汇玉米热狗肠,2017/1/1 12:55,C,非饮料,肉干/豆制品/蛋
144,1.5,40g双汇玉米热狗肠,2017/1/9 08:33,C,非饮料,肉干/豆制品/蛋
160,1.5,40g双汇玉米热狗肠,2017/1/10 19:49,C,非饮料,肉干/豆制品/蛋
164,2.0,40g双汇玉米热狗肠,2017/1/29 19:05,C,非饮料,肉干/豆制品/蛋
168,1.5,40g双汇玉米热狗肠,2017/1/30 15:58,C,非饮料,肉干/豆制品/蛋
180,1.5,40g双汇玉米热狗肠,2017/3/31 23:39,C,非饮料,肉干/豆制品/蛋
191,1.5,40g双汇玉米热狗肠,2017/4/12 23:09,C,非饮料,肉干/豆制品/蛋
199,1.5,40g双汇玉米热狗肠,2017/4/16 17:35,C,非饮料,肉干/豆制品/蛋
202,3.0,40g双汇玉米热狗肠,2017/4/17 15:35,C,非饮料,肉干/豆制品/蛋
203,1.5,40g双汇玉米热狗肠,2017/4/17 15:38,C,非饮料,肉干/豆制品/蛋
209,1.5,40g双汇玉米热狗肠,2017/4/19 08:14,C,非饮料,肉干/豆制品/蛋
221,1.5,40g双汇玉米热狗肠,2017/4/24 07:17,C,非饮料,肉干/豆制品/蛋
222,1.5,40g双汇玉米热狗肠,2017/4/25 06:24,C,非饮料,肉干/豆制品/蛋
224,1.5,40g双汇玉米热狗肠,2017/4/26 15:38,C,非饮料,肉干/豆制品/蛋
226,1.5,40g双汇玉米热狗肠,2017/4/28 12:07,C,非饮料,肉干/豆制品/蛋
227,1.5,40g双汇玉米热狗肠,2017/4/28 12:13,C,非饮料,肉干/豆制品/蛋
253,1.5,40g双汇玉米热狗肠,2017/5/8 23:55,C,非饮料,肉干/豆制品/蛋
254,1.5,40g双汇玉米热狗肠,2017/5/9 13:30,C,非饮料,肉干/豆制品/蛋
257,3.0,40g双汇玉米热狗肠,2017/5/10 10:08,C,非饮料,肉干/豆制品/蛋
260,1.5,40g双汇玉米热狗肠,2017/5/10 18:51,C,非饮料,肉干/豆制品/蛋
261,1.5,40g双汇玉米热狗肠,2017/5/10 19:32,C,非饮料,肉干/豆制品/蛋
266,1.5,40g双汇玉米热狗肠,2017/5/12 15:54,C,非饮料,肉干/豆制品/蛋
279,1.5,40g双汇玉米热狗肠,2017/5/15 15:23,C,非饮料,肉干/豆制品/蛋
280,3.0,40g双汇玉米热狗肠,2017/5/15 22:17,C,非饮料,肉干/豆制品/蛋
287,3.0,40g双汇玉米热狗肠,2017/5/18 07:40,C,非饮料,肉干/豆制品/蛋
299,3.0,40g双汇玉米热狗肠,2017/5/19 23:12,C,非饮料,肉干/豆制品/蛋
315,1.5,40g双汇玉米热狗肠,2017/5/23 07:55,C,非饮料,肉干/豆制品/蛋
317,1.5,40g双汇玉米热狗肠,2017/5/23 14:26,C,非饮料,肉干/豆制品/蛋
324,1.5,40g双汇玉米热狗肠,2017/5/24 10:07,C,非饮料,肉干/豆制品/蛋
325,1.5,40g双汇玉米热狗肠,2017/5/24 11:14,C,非饮料,肉干/豆制品/蛋
326,4.5,40g双汇玉米热狗肠,2017/5/24 17:52,C,非饮料,肉干/豆制品/蛋
328,1.5,40g双汇玉米热狗肠,2017/5/24 23:15,C,非饮料,肉干/豆制品/蛋
337,1.5,40g双汇玉米热狗肠,2017/5/26 20:49,C,非饮料,肉干/豆制品/蛋
338,3.0,40g双汇玉米热狗肠,2017/5/26 21:11,C,非饮料,肉干/豆制品/蛋
343,3.0,40g双汇玉米热狗肠,2017/5/27 13:57,C,非饮料,肉干/豆制品/蛋
351,1.5,40g双汇玉米热狗肠,2017/5/28 20:03,C,非饮料,肉干/豆制品/蛋
357,1.5,40g双汇玉米热狗肠,2017/5/29 14:27,C,非饮料,肉干/豆制品/蛋
367,1.5,40g双汇玉米热狗肠,2017/5/30 21:31,C,非饮料,肉干/豆制品/蛋
369,1.5,40g双汇玉米热狗肠,2017/6/1 00:13,C,非饮料,肉干/豆制品/蛋
387,4.5,40g双汇玉米热狗肠,2017/6/4 10:05,C,非饮料,肉干/豆制品/蛋
391,1.5,40g双汇玉米热狗肠,2017/6/4 14:48,C,非饮料,肉干/豆制品/蛋
397,3.0,40g双汇玉米热狗肠,2017/6/4 20:34,C,非饮料,肉干/豆制品/蛋
400,1.5,40g双汇玉米热狗肠,2017/6/5 03:27,C,非饮料,肉干/豆制品/蛋
402,1.5,40g双汇玉米热狗肠,2017/6/5 15:27,C,非饮料,肉干/豆制品/蛋
405,1.5,40g双汇玉米热狗肠,2017/6/6 09:10,C,非饮料,肉干/豆制品/蛋
406,1.5,40g双汇玉米热狗肠,2017/6/6 09:36,C,非饮料,肉干/豆制品/蛋
407,1.5,40g双汇玉米热狗肠,2017/6/6 16:54,C,非饮料,肉干/豆制品/蛋
414,1.5,40g双汇玉米热狗肠,2017/6/7 11:40,C,非饮料,肉干/豆制品/蛋
415,1.5,40g双汇玉米热狗肠,2017/6/7 11:50,C,非饮料,肉干/豆制品/蛋
449,1.5,40g双汇玉米热狗肠,2017/6/10 07:49,C,非饮料,肉干/豆制品/蛋
456,1.5,40g双汇玉米热狗肠,2017/6/11 01:54,C,非饮料,肉干/豆制品/蛋
480,1.5,40g双汇玉米热狗肠,2017/6/12 07:24,C,非饮料,肉干/豆制品/蛋
499,1.5,40g双汇玉米热狗肠,2017/6/13 08:51,C,非饮料,肉干/豆制品/蛋
506,3.0,40g双汇玉米热狗肠,2017/6/14 02:11,C,非饮料,肉干/豆制品/蛋
508,1.5,40g双汇玉米热狗肠,2017/6/14 11:02,C,非饮料,肉干/豆制品/蛋
510,1.5,40g双汇玉米热狗肠,2017/6/14 12:26,C,非饮料,肉干/豆制品/蛋
511,1.5,40g双汇玉米热狗肠,2017/6/14 14:55,C,非饮料,肉干/豆制品/蛋
536,1.5,40g双汇玉米热狗肠,2017/6/16 16:52,C,非饮料,肉干/豆制品/蛋
538,1.5,40g双汇玉米热狗肠,2017/6/16 20:18,C,非饮料,肉干/豆制品/蛋
540,1.5,40g双汇玉米热狗肠,2017/6/17 17:13,C,非饮料,肉干/豆制品/蛋
548,3.0,40g双汇玉米热狗肠,2017/6/19 00:58,C,非饮料,肉干/豆制品/蛋
564,3.0,40g双汇玉米热狗肠,2017/6/24 01:31,C,非饮料,肉干/豆制品/蛋
569,1.5,40g双汇玉米热狗肠,2017/6/25 03:24,C,非饮料,肉干/豆制品/蛋
570,3.0,40g双汇玉米热狗肠,2017/6/25 10:39,C,非饮料,肉干/豆制品/蛋
581,1.5,40g双汇玉米热狗肠,2017/6/27 13:45,C,非饮料,肉干/豆制品/蛋
583,1.5,40g双汇玉米热狗肠,2017/6/28 04:42,C,非饮料,肉干/豆制品/蛋
587,1.5,40g双汇玉米热狗肠,2017/6/28 20:05,C,非饮料,肉干/豆制品/蛋
588,1.5,40g双汇玉米热狗肠,2017/6/28 21:22,C,非饮料,肉干/豆制品/蛋
589,4.5,40g双汇玉米热狗肠,2017/6/28 21:55,C,非饮料,肉干/豆制品/蛋
591,3.0,40g双汇玉米热狗肠,2017/6/29 02:06,C,非饮料,肉干/豆制品/蛋
593,1.5,40g双汇玉米热狗肠,2017/6/29 19:51,C,非饮料,肉干/豆制品/蛋
594,3.0,40g双汇玉米热狗肠,2017/6/30 04:26,C,非饮料,肉干/豆制品/蛋
607,1.5,40g双汇玉米热狗肠,2017/7/1 14:34,C,非饮料,肉干/豆制品/蛋
610,1.5,40g双汇玉米热狗肠,2017/7/3 16:03,C,非饮料,肉干/豆制品/蛋
612,1.5,40g双汇玉米热狗肠,2017/7/4 16:15,C,非饮料,肉干/豆制品/蛋
618,1.5,40g双汇玉米热狗肠,2017/7/13 23:51,C,非饮料,肉干/豆制品/蛋
620,1.5,40g双汇玉米热狗肠,2017/7/24 11:51,C,非饮料,肉干/豆制品/蛋
622,3.0,40g双汇玉米热狗肠,2017/7/24 14:58,C,非饮料,肉干/豆制品/蛋
627,1.5,40g双汇玉米热狗肠,2017/7/25 15:24,C,非饮料,肉干/豆制品/蛋
