,金额,商品,支付时间,地点,大类,二级类
2,4.5,68g好丽友巧克力派2枚,2017/1/3 01:53,E,非饮料,饼干糕点
4,4.5,68g好丽友巧克力派2枚,2017/3/29 13:17,E,非饮料,饼干糕点
5,4.5,68g好丽友巧克力派2枚,2017/3/29 17:11,E,非饮料,饼干糕点
6,4.5,68g好丽友巧克力派2枚,2017/4/2 21:21,E,非饮料,饼干糕点
7,4.5,68g好丽友巧克力派2枚,2017/4/3 16:21,E,非饮料,饼干糕点
11,4.5,68g好丽友巧克力派2枚,2017/5/1 05:40,E,非饮料,饼干糕点
14,4.5,68g好丽友巧克力派2枚,2017/5/7 23:18,E,非饮料,饼干糕点
19,4.5,68g好丽友巧克力派2枚,2017/5/20 13:15,E,非饮料,饼干糕点
28,4.5,68g好丽友巧克力派2枚,2017/6/3 17:03,E,非饮料,饼干糕点
29,4.5,68g好丽友巧克力派2枚,2017/6/3 17:11,E,非饮料,饼干糕点
32,4.5,68g好丽友巧克力派2枚,2017/6/12 12:11,E,非饮料,饼干糕点
36,4.5,68g好丽友巧克力派2枚,2017/6/21 16:02,E,非饮料,饼干糕点
37,4.5,68g好丽友巧克力派2枚,2017/6/21 17:17,E,非饮料,饼干糕点
38,4.5,68g好丽友巧克力派2枚,2017/6/21 17:34,E,非饮料,饼干糕点
39,4.5,68g好丽友巧克力派2枚,2017/6/21 17:35,E,非饮料,饼干糕点
40,4.5,68g好丽友巧克力派2枚,2017/6/21 17:44,E,非饮料,饼干糕点
41,4.5,68g好丽友巧克力派2枚,2017/6/21 17:53,E,非饮料,饼干糕点
42,4.5,68g好丽友巧克力派2枚,2017/6/21 18:17,E,非饮料,饼干糕点
43,4.5,68g好丽友巧克力派2枚,2017/6/21 19:12,E,非饮料,饼干糕点
46,4.5,68g好丽友巧克力派2枚,2017/6/22 17:14,E,非饮料,饼干糕点
47,4.5,68g好丽友巧克力派2枚,2017/6/22 22:03,E,非饮料,饼干糕点
49,4.5,68g好丽友巧克力派2枚,2017/6/26 00:56,E,非饮料,饼干糕点
62,4.5,68g好丽友巧克力派2枚,2017/8/17 17:26,E,非饮料,饼干糕点
64,4.5,68g好丽友巧克力派2枚,2017/9/1 13:38,E,非饮料,饼干糕点
67,4.5,68g好丽友巧克力派2枚,2017/9/2 17:02,E,非饮料,饼干糕点
76,4.5,68g好丽友巧克力派2枚,2017/9/13 19:26,E,非饮料,饼干糕点
77,4.5,68g好丽友巧克力派2枚,2017/9/15 19:47,E,非饮料,饼干糕点
80,4.5,68g好丽友巧克力派2枚,2017/9/23 08:59,E,非饮料,饼干糕点
